,0,1,2,3,4,5,6,7
134,제5회 희망플러스 출생 장려 수기 공모전,문학/글/시나리오,제한없음,한국출산장려진흥회,2025-04-15 ~ 2025-05-25,1천만원이하,100만원,
135,"2025 한국안데르센상 작품공모전 (창작동화&동시, 그림책 부문)",예체능/미술/음악,기타,아이코리아,2025-04-17 ~ 2025-06-20,3천만원~1천만원,500만원,
136,2025 순환경제 아이디어 공모전,기획/아이디어,제한없음,"산업통상자원부, 한국생산기술연구원",2025-04-14 ~ 2025-05-23,1천만원이하,300만원,
137,2025 생활안전 아이디어 공모전,기획/아이디어,제한없음,행정안전부,2025-04-16 ~ 2025-05-16,다양한 혜택,,
138,[윤상원기념사업회] 2025 윤상원 기억과 실천 청소년 짧은 영상 작품 공모전,영상/UCC/사진,기타,윤상원기념사업회,2025-04-07 ~ 2025-05-09,1천만원이하,100만원,
139,[한국아카이브재단] 제1회 아카이브 아이디어 공모전,기획/아이디어,기타,한국아카이브재단,2025-04-15 ~ 2025-05-23,1천만원이하,200만원,
140,여성활동플랫폼 홍보 영상 공모전 (기간연장),영상/UCC/사진,제한없음,경기도여성비전센터,2025-04-14 ~ 2025-05-16,1천만원이하,100만원,
141,2025년 충남관광 사진·영상 공모전,영상/UCC/사진,제한없음,충남도청,2025-04-15 ~ 2025-09-30,3천만원~1천만원,250만원,
142,국립대구과학관 2025년 제5회 과학영상콘텐츠 공모전,영상/UCC/사진,"대학생, 청소년, 기타",국립대구과학관,2025-04-16 ~ 2025-06-15,1천만원이하,150만원,
143,해군 창설 80주년 계기 해군 홍보 물품 공모전,예체능/미술/음악,제한없음,해군본부,2025-04-21 ~ 2025-05-23,1천만원이하,300만원,
144,2025 충북 관광 활성화 콘텐츠 공모전(광고디자인),디자인/캐릭터/웹툰,제한없음,충청북도 / 충북문화재단,2025-04-21 ~ 2025-05-23,1천만원이하,300만원,
145,[이천경찰서] 학교폭력 및 청소년범죄 예방 포스터·표어 공모전,예체능/미술/음악,기타,이천경찰서,2025-04-07 ~ 2025-05-06,다양한 혜택,,
146,청소년 도박근절 콘텐츠 공모전,예체능/미술/음악,청소년,"사행산업통합감독위원회, 강원랜드",2025-04-15 ~ 2025-05-31,1천만원이하,200만원,
147,인쇄산업 역사사진 공모전,영상/UCC/사진,제한없음,서울특별시인쇄정보산업협동조합,2025-04-14 ~ 2025-07-31,1천만원이하,50만원,
148,2025 TS 교통안전 서포터즈 공모전,대외활동/서포터즈,대학생,한국교통안전공단,2025-04-14 ~ 2025-05-11,3천만원~1천만원,500만원,
149,도민과 함께하는 CDC 혁신아이디어 제안 공모전,기획/아이디어,"대학생, 기타",충청남도개발공사,2025-04-14 ~ 2025-05-23,1천만원이하,100만원,
150,2025 뚜비와 함께하는 전국 어린이 민화 글ㆍ그림 공모전,예체능/미술/음악,"어린이, 기타",박물관ㆍ수,2025-04-12 ~ 2025-06-11,다양한 혜택,,
151,2025 안동 MICE 행사 기획 공모전,기획/아이디어,대학생,"한국관광공사, 안동시, 한국정신문화재단(안동국제컨벤션센터) / 경희컨벤션학회",2025-04-16 ~ 2025-06-02,1천만원이하,300만원,
152,"2025 춘천여행 SNS 공모전 (함께 가고 싶은 도시, Romantic 춘천)",영상/UCC/사진,제한없음,춘천시 / 위드이노베이션,2025-04-01 ~ 2025-11-20,1천만원이하,30만원,
153,2025년 화성특례시 특별한 아이디어 공모전 (화성특특),기획/아이디어,기타,화성특례시,2025-04-08 ~ 2025-05-16,1천만원이하,100만원,
154,2025 운곡람사르습지 사진 공모전,영상/UCC/사진,제한없음,고창군,2025-04-01 ~ 2025-07-31,1천만원이하,200만원,
155,제1회 안전한 대한민국 영상 공모전,영상/UCC/사진,제한없음,대한산업안전협회,2025-04-14 ~ 2025-06-08,1천만원이하,300만원,
156,"우리 가족이 최고 공모전 (가족을 이루다, 미래를 잇다)",기타,제한없음,대구광역시교육청,2025-04-14 ~ 2025-05-16,1천만원이하,200만원,
157,CCF 2025 지속 가능한 K-Style 영상·소통 공모전,영상/UCC/사진,제한없음,한국이미지커뮤니케이션연구원,2025-03-20 ~ 2025-05-30,1천만원이하,150만원,
158,2025년 대전광역시 감정노동존중 수기공모전 Ⅳ,문학/글/시나리오,"일반인, 대학생, 기타",대전광역시노동권익센터,2025-04-01 ~ 2025-05-07,1천만원이하,100만원,
159,2025년 경상남도 빅데이터 분석 공모전,웹/모바일/IT,제한없음,경남빅데이터센터,경상남도,2025-04-07 ~ 2025-06-02,1천만원이하,200만원
160,2025년 청렴중구 콘텐츠 공모전,영상/UCC/사진,"일반인, 대학생",서울특별시중구,2025-04-14 ~ 2025-05-16,1천만원이하,,
161,제30회 바다의 날 콘텐츠 공모전,예체능/미술/음악,제한없음,해양수산부 / (재)한국해양재단,2025-04-10 ~ 2025-05-08,1천만원이하,100만원,
162,2025년 학생 치매인식개선 숏폼 영상 공모전,영상/UCC/사진,"대학생, 청소년, 어린이",서울특별시 광역치매센터,2025-04-01 ~ 2025-06-08,1천만원이하,100만원,
163,2025년 서대문구 규제개혁 공모전,기획/아이디어,기타,서대문구,2025-04-03 ~ 2025-05-09,1천만원이하,50만원,
164,제21회 중랑신춘문예 공모전,문학/글/시나리오,"제한없음, 기타",중랑구,2025-03-03 ~ 2025-05-30,1천만원이하,70만원,
165,금천형 주민자치 미래발전정책 경진대회 공모전,기타,"일반인, 대학생",금천구청,2025-04-15 ~ 2025-05-30,1천만원이하,,
166,2025년 환경 사진·웹툰 콘텐츠 공모전,예체능/미술/음악,"청소년, 어린이, 기타",화성시환경재단,2025-04-10 ~ 2025-05-18,다양한 혜택,,
